cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.860375,0.000811,364.781356,2431.875705
II,0.844493,0.000796,358.048010,2386.986734
III,0.222886,0.000210,94.499083,629.993884
IV,0.170379,0.000161,72.237098,481.580651
