cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.846609,0.000569,256.007004,1706.713357
II,0.802463,0.000539,242.657716,1617.718105
III,0.283448,0.000190,85.712271,571.415139
IV,0.132137,0.000089,39.957171,266.381141
