proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8058,7563,2951,1934
2,10000,8097,7618,3115,2023
3,10000,8441,8001,2758,1279
4,10000,8494,8051,2918,1367
5,10000,8803,8361,2949,2009
6,10000,8798,8349,2914,1879
