proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8148,7679,2991,2033
2,10000,8088,7618,3104,2127
3,10000,8563,8206,2871,1493
4,10000,8573,8163,2913,1524
5,10000,8840,8463,2950,2187
6,10000,8954,8587,2923,2128
