process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.150000e+02,1.100000e+00,8.191191e-08,2.422343e-10,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.150000e+02,1.100000e+00,7.297406e-08,3.134991e-10,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.150000e+02,1.100000e+00,9.582977e-05,2.916793e-07,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.150000e+02,1.100000e+00,8.636800e-05,2.412464e-07,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.150000e+02,1.100000e+00,2.329446e-10,8.801795e-13,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.150000e+02,1.100000e+00,2.176514e-10,7.152727e-13,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
