proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8087,7591,2988,2016
2,10000,8103,7670,3108,2097
3,10000,8527,8104,2876,1445
4,10000,8592,8173,2922,1496
5,10000,8842,8443,2964,2096
6,10000,8841,8446,2998,2122
