proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8073,7597,2968,2074
2,10000,8128,7630,3087,2121
3,10000,8455,8052,2783,1417
4,10000,8501,8064,2862,1472
5,10000,8825,8440,2868,2059
6,10000,8804,8424,2899,2039
