cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.852526,0.005337,2401.729728,16011.531523
II,0.811502,0.005080,2286.157391,15241.049274
III,0.290924,0.001821,819.590602,5463.937346
IV,0.146442,0.000917,412.555303,2750.368689
