cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.859198,0.000716,322.033511,2146.890075
II,0.824779,0.000687,309.133202,2060.888015
III,0.292219,0.000243,109.525607,730.170714
IV,0.190542,0.000159,71.416621,476.110808
