process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,6.200000e+02,6.450000e-02,6.039127e-05,4.710396e-07,1000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,6.200000e+02,6.450000e-02,5.398526e-05,4.012769e-07,1000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,6.200000e+02,6.450000e-02,1.406837e-03,1.132905e-05,1000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,6.200000e+02,6.450000e-02,1.226831e-03,1.073013e-05,1000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,6.200000e+02,6.450000e-02,1.249758e-07,1.216502e-09,1000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,6.200000e+02,6.450000e-02,1.154596e-07,1.065258e-09,1000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
