process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,2.550000e+02,1.800000e+00,2.290936e-07,8.525716e-10,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,2.550000e+02,1.800000e+00,2.073965e-07,6.976222e-10,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,2.550000e+02,1.800000e+00,3.812684e-04,1.058994e-06,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,2.550000e+02,1.800000e+00,3.455609e-04,9.985277e-07,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,2.550000e+02,1.800000e+00,2.928831e-09,9.214883e-12,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,2.550000e+02,1.800000e+00,2.716846e-09,1.017513e-11,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
