proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8061,7607,2941,2019
2,10000,8133,7686,3101,2150
3,10000,8586,8196,2814,1542
4,10000,8558,8155,2894,1516
5,10000,8850,8514,2815,2081
6,10000,8915,8609,2912,2143
