cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.852331,0.000015,6.538402,43.589348
II,0.812780,0.000014,6.234998,41.566652
III,0.292834,0.000005,2.246387,14.975915
IV,0.161264,0.000003,1.237087,8.247246
