cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.824296,0.001178,529.973200,3533.154664
II,0.776665,0.001110,499.349112,3328.994081
III,0.278660,0.000398,179.161760,1194.411734
IV,0.135836,0.000194,87.334490,582.229934
