process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,2.400000e+02,1.500000e+00,1.807102e-07,5.858835e-10,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,2.400000e+02,1.500000e+00,1.649959e-07,6.658764e-10,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,2.400000e+02,1.500000e+00,3.631880e-04,1.161823e-06,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,2.400000e+02,1.500000e+00,3.307981e-04,1.121871e-06,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,2.400000e+02,1.500000e+00,2.510671e-09,9.218595e-12,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,2.400000e+02,1.500000e+00,2.342825e-09,9.907769e-12,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
