proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8067,7592,2965,1908
2,10000,8065,7566,3063,1958
3,10000,8375,7946,2756,1311
4,10000,8411,7971,2890,1331
5,10000,8755,8322,2830,1872
6,10000,8739,8280,2820,1846
