cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.844146,0.000407,182.993162,1219.954411
II,0.801601,0.000386,173.770223,1158.468153
III,0.286007,0.000138,62.000345,413.335632
IV,0.138453,0.000067,30.013642,200.090945
