process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.000000e+02,4.000000e+00,1.817301e-06,1.659733e-08,1000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.000000e+02,4.000000e+00,1.630537e-06,1.961178e-08,1000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.000000e+02,4.000000e+00,7.254984e-04,6.851229e-06,1000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.000000e+02,4.000000e+00,6.553044e-04,4.734754e-06,1000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.000000e+02,4.000000e+00,1.229594e-08,1.390821e-10,1000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.000000e+02,4.000000e+00,1.157478e-08,1.369850e-10,1000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
