process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,622.923529,4152.823526
pass_cut_i_bjet,807,817,849,846,874,889,527.919935,3519.466234
pass_cut_ii_met,760,770,794,791,831,845,493.671677,3291.144513
pass_cut_iii_same_sign_dilepton,310,316,293,288,270,299,181.072841,1207.152276
pass_cut_iv_mll,229,219,150,135,187,210,89.130975,594.206501
pass_cut_i_bjet_frac,0.807000,0.817000,0.849000,0.846000,0.874000,0.889000,0.847488,0.847488
pass_cut_ii_met_frac,0.760000,0.770000,0.794000,0.791000,0.831000,0.845000,0.792508,0.792508
pass_cut_iii_same_sign_dilepton_frac,0.310000,0.316000,0.293000,0.288000,0.270000,0.299000,0.290682,0.290682
pass_cut_iv_mll_frac,0.229000,0.219000,0.150000,0.135000,0.187000,0.210000,0.143085,0.143085
