proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8039,7590,2939,2045
2,10000,8138,7666,3060,2080
3,10000,8583,8160,2761,1431
4,10000,8536,8140,2804,1411
5,10000,8835,8423,2911,2051
6,10000,8810,8396,2939,2086
