cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.856044,0.000208,93.707476,624.716505
II,0.815019,0.000198,89.216632,594.777547
III,0.278150,0.000068,30.447884,202.985896
IV,0.142196,0.000035,15.565554,103.770362
