process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.450000e+02,9.000000e+00,2.868365e-05,9.430695e-08,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.450000e+02,9.000000e+00,2.587391e-05,9.879181e-08,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.450000e+02,9.000000e+00,2.876333e-05,9.361388e-08,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.450000e+02,9.000000e+00,2.559609e-05,9.100224e-08,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.450000e+02,9.000000e+00,2.641186e-11,1.023369e-13,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.450000e+02,9.000000e+00,2.465622e-11,8.494851e-14,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
