cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.836357,0.000077,34.576436,230.509571
II,0.794120,0.000073,32.830292,218.868611
III,0.291808,0.000027,12.063853,80.425687
IV,0.177507,0.000016,7.338435,48.922900
