process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.440000e+02,1.200000e-01,2.138198e-05,6.806738e-08,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.440000e+02,1.200000e-01,1.928872e-05,7.507646e-08,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.440000e+02,1.200000e-01,2.714543e-05,9.397092e-08,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.440000e+02,1.200000e-01,2.405431e-05,7.774354e-08,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.440000e+02,1.200000e-01,2.269319e-11,8.185892e-14,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.440000e+02,1.200000e-01,2.111087e-11,7.134543e-14,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
