proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8114,7679,2989,2093
2,10000,8073,7612,3009,2126
3,10000,8543,8139,2849,1532
4,10000,8598,8221,2940,1563
5,10000,8857,8484,2962,2159
6,10000,8895,8526,2898,2166
