cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.846107,0.001061,477.674758,3184.498386
II,0.798004,0.001001,450.518216,3003.454773
III,0.287241,0.000360,162.163565,1081.090431
IV,0.134008,0.000168,75.655061,504.367072
