cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.852467,0.000178,80.298385,535.322565
II,0.812945,0.000170,76.575585,510.503897
III,0.290766,0.000061,27.388823,182.592152
IV,0.155014,0.000032,14.601547,97.343650
