cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.847471,0.005319,2393.409201,15956.061342
II,0.803592,0.005043,2269.487217,15129.914782
III,0.281205,0.001765,794.172392,5294.482610
IV,0.142132,0.000892,401.406231,2676.041540
