proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8140,7677,2967,2054
2,10000,8105,7614,3114,2108
3,10000,8491,8050,2751,1396
4,10000,8469,8034,2872,1426
5,10000,8811,8413,3017,2125
6,10000,8837,8422,2925,2036
