process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,277.891309,1852.608728
pass_cut_i_bjet,837,815,891,884,888,910,246.495324,1643.302159
pass_cut_ii_met,799,767,865,855,870,885,238.832753,1592.218353
pass_cut_iii_same_sign_dilepton,296,292,299,288,249,251,81.674268,544.495123
pass_cut_iv_mll,232,230,183,184,198,196,51.142751,340.951671
pass_cut_i_bjet_frac,0.837000,0.815000,0.891000,0.884000,0.888000,0.910000,0.887021,0.887021
pass_cut_ii_met_frac,0.799000,0.767000,0.865000,0.855000,0.870000,0.885000,0.859447,0.859447
pass_cut_iii_same_sign_dilepton_frac,0.296000,0.292000,0.299000,0.288000,0.249000,0.251000,0.293907,0.293907
pass_cut_iv_mll_frac,0.232000,0.230000,0.183000,0.184000,0.198000,0.196000,0.184039,0.184039
