proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8064,7600,3036,2096
2,10000,8203,7743,3118,2069
3,10000,8530,8114,2860,1462
4,10000,8534,8132,2958,1445
5,10000,8830,8414,2961,2064
6,10000,8799,8375,3021,2114
