process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,1281.810204,8545.401359
pass_cut_i_bjet,808,837,865,857,901,895,1102.280517,7348.536778
pass_cut_ii_met,762,789,836,825,874,873,1062.604920,7084.032802
pass_cut_iii_same_sign_dilepton,252,282,269,280,237,252,351.058102,2340.387347
pass_cut_iv_mll,196,206,169,182,198,209,225.518024,1503.453494
pass_cut_i_bjet_frac,0.808000,0.837000,0.865000,0.857000,0.901000,0.895000,0.859941,0.859941
pass_cut_ii_met_frac,0.762000,0.789000,0.836000,0.825000,0.874000,0.873000,0.828988,0.828988
pass_cut_iii_same_sign_dilepton_frac,0.252000,0.282000,0.269000,0.280000,0.237000,0.252000,0.273877,0.273877
pass_cut_iv_mll_frac,0.196000,0.206000,0.169000,0.182000,0.198000,0.209000,0.175937,0.175937
