cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.859941,0.002450,1102.280517,7348.536778
II,0.828988,0.002361,1062.604920,7084.032802
III,0.273877,0.000780,351.058102,2340.387347
IV,0.175937,0.000501,225.518024,1503.453494
