cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.808436,0.621541,279693.551820,1864623.678801
II,0.762471,0.586203,263791.215233,1758608.101556
III,0.296846,0.228221,102699.423018,684662.820120
IV,0.206768,0.158968,71535.409625,476902.730833
