cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.841829,0.000288,129.737633,864.917551
II,0.799357,0.000274,123.192052,821.280345
III,0.289458,0.000099,44.609478,297.396517
IV,0.161726,0.000055,24.924214,166.161426
