cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.885867,0.000656,295.044228,1966.961521
II,0.862944,0.000639,287.409669,1916.064458
III,0.281553,0.000208,93.773291,625.155271
IV,0.188210,0.000139,62.684685,417.897898
