process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,333.057098,2220.380656
pass_cut_i_bjet,809,830,903,869,887,898,295.044228,1966.961521
pass_cut_ii_met,765,785,881,846,870,877,287.409669,1916.064458
pass_cut_iii_same_sign_dilepton,284,288,281,282,244,240,93.773291,625.155271
pass_cut_iv_mll,221,218,188,187,199,206,62.684685,417.897898
pass_cut_i_bjet_frac,0.809000,0.830000,0.903000,0.869000,0.887000,0.898000,0.885867,0.885867
pass_cut_ii_met_frac,0.765000,0.785000,0.881000,0.846000,0.870000,0.877000,0.862944,0.862944
pass_cut_iii_same_sign_dilepton_frac,0.284000,0.288000,0.281000,0.282000,0.244000,0.240000,0.281553,0.281553
pass_cut_iv_mll_frac,0.221000,0.218000,0.188000,0.187000,0.199000,0.206000,0.188210,0.188210
