cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.868810,0.000640,288.018179,1920.121192
II,0.841372,0.000620,278.922109,1859.480726
III,0.282603,0.000208,93.685319,624.568796
IV,0.201253,0.000148,66.717119,444.780796
