cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.851935,0.000257,115.505719,770.038124
II,0.810833,0.000244,109.933110,732.887401
III,0.294616,0.000089,39.944165,266.294433
IV,0.163824,0.000049,22.211373,148.075823
