cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.846709,0.000483,217.243442,1448.289615
II,0.804133,0.000458,206.319602,1375.464015
III,0.289781,0.000165,74.350309,495.668728
IV,0.138600,0.000079,35.561237,237.074914
