process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,332.370716,2215.804770
pass_cut_i_bjet,810,834,867,874,894,891,288.716635,1924.777570
pass_cut_ii_met,771,797,847,861,880,879,282.918381,1886.122542
pass_cut_iii_same_sign_dilepton,270,292,276,267,218,225,90.438405,602.922698
pass_cut_iv_mll,217,240,201,194,191,199,66.051319,440.342125
pass_cut_i_bjet_frac,0.810000,0.834000,0.867000,0.874000,0.894000,0.891000,0.868658,0.868658
pass_cut_ii_met_frac,0.771000,0.797000,0.847000,0.861000,0.880000,0.879000,0.851213,0.851213
pass_cut_iii_same_sign_dilepton_frac,0.270000,0.292000,0.276000,0.267000,0.218000,0.225000,0.272101,0.272101
pass_cut_iv_mll_frac,0.217000,0.240000,0.201000,0.194000,0.191000,0.199000,0.198728,0.198728
