process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,225.911285,1506.075231
pass_cut_i_bjet,793,820,837,834,909,868,188.760957,1258.406377
pass_cut_ii_met,735,773,798,789,875,824,179.305548,1195.370322
pass_cut_iii_same_sign_dilepton,273,323,285,292,312,307,65.136342,434.242277
pass_cut_iv_mll,179,232,129,147,227,218,31.083532,207.223548
pass_cut_i_bjet_frac,0.793000,0.820000,0.837000,0.834000,0.909000,0.868000,0.835553,0.835553
pass_cut_ii_met_frac,0.735000,0.773000,0.798000,0.789000,0.875000,0.824000,0.793699,0.793699
pass_cut_iii_same_sign_dilepton_frac,0.273000,0.323000,0.285000,0.292000,0.312000,0.307000,0.288327,0.288327
pass_cut_iv_mll_frac,0.179000,0.232000,0.129000,0.147000,0.227000,0.218000,0.137592,0.137592
