proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8057,7589,3000,1932
2,10000,8179,7674,3090,1996
3,10000,8398,7983,2787,1371
4,10000,8490,8053,2941,1399
5,10000,8726,8359,3013,2057
6,10000,8759,8313,2885,1915
