cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.836480,0.000200,90.171939,601.146257
II,0.793004,0.000190,85.485177,569.901179
III,0.291559,0.000070,31.429787,209.531914
IV,0.174428,0.000042,18.803225,125.354834
