proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8024,7563,2901,2042
2,10000,8097,7610,2955,2065
3,10000,8490,8066,2826,1543
4,10000,8572,8169,3004,1620
5,10000,8881,8537,2978,2207
6,10000,8870,8510,2901,2084
