cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.852894,0.001992,896.480280,5976.535201
II,0.816732,0.001908,858.470658,5723.137722
III,0.301973,0.000705,317.405144,2116.034291
IV,0.161780,0.000378,170.047141,1133.647610
