cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.854738,0.000056,25.095353,167.302353
II,0.811621,0.000053,23.829442,158.862946
III,0.290747,0.000019,8.536421,56.909476
IV,0.155173,0.000010,4.555917,30.372780
