cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.828687,0.000027,12.072184,80.481224
II,0.785670,0.000025,11.445522,76.303477
III,0.290888,0.000009,4.237619,28.250796
IV,0.188234,0.000006,2.742167,18.281116
