cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.873443,0.000574,258.321989,1722.146590
II,0.838461,0.000551,247.976030,1653.173534
III,0.297039,0.000195,87.849737,585.664914
IV,0.188660,0.000124,55.796378,371.975856
