proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8034,7570,2962,1941
2,10000,8163,7667,3114,2115
3,10000,8455,8016,2787,1427
4,10000,8437,8015,2899,1359
5,10000,8773,8358,3006,2055
6,10000,8818,8401,2914,2009
