cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.858898,0.000708,318.450753,2123.005021
II,0.818953,0.000675,303.640524,2024.270163
III,0.289490,0.000239,107.333421,715.556140
IV,0.143407,0.000118,53.170408,354.469389
