cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.834464,0.014742,6633.926853,44226.179019
II,0.785068,0.013869,6241.234138,41608.227586
III,0.277087,0.004895,2202.821429,14685.476196
IV,0.126335,0.002232,1004.357582,6695.717216
