process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,2.225000e+02,1.000000e+01,9.615855e-05,3.210230e-07,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,2.225000e+02,1.000000e+01,8.798549e-05,3.051650e-07,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,2.225000e+02,1.000000e+01,9.169324e-03,3.642363e-05,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,2.225000e+02,1.000000e+01,8.310202e-03,3.036854e-05,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,2.225000e+02,1.000000e+01,1.463973e-06,4.745006e-09,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,2.225000e+02,1.000000e+01,1.365775e-06,4.426736e-09,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
