cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.858246,0.000780,350.794009,2338.626729
II,0.817098,0.000742,333.975604,2226.504024
III,0.303335,0.000276,123.983368,826.555784
IV,0.148197,0.000135,60.573168,403.821118
