cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.831915,0.017873,8042.992451,53619.949673
II,0.786550,0.016899,7604.399128,50695.994189
III,0.277088,0.005953,2678.895873,17859.305822
IV,0.124760,0.002680,1206.188993,8041.259955
