process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,10000,10000,10000,10000,10000,10000,9668.044041,64453.626942
pass_cut_i_bjet,8012,8155,8384,8253,8496,8566,8042.992451,53619.949673
pass_cut_ii_met,7501,7643,7950,7779,8079,8125,7604.399128,50695.994189
pass_cut_iii_same_sign_dilepton,2897,3157,2795,2739,2703,2784,2678.895873,17859.305822
pass_cut_iv_mll,1848,2007,1242,1239,1725,1731,1206.188993,8041.259955
pass_cut_i_bjet_frac,0.801200,0.815500,0.838400,0.825300,0.849600,0.856600,0.831915,0.831915
pass_cut_ii_met_frac,0.750100,0.764300,0.795000,0.777900,0.807900,0.812500,0.786550,0.786550
pass_cut_iii_same_sign_dilepton_frac,0.289700,0.315700,0.279500,0.273900,0.270300,0.278400,0.277088,0.277088
pass_cut_iv_mll_frac,0.184800,0.200700,0.124200,0.123900,0.172500,0.173100,0.124760,0.124760
