proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10,9,9,4,3
2,10,10,8,2,0
3,10,9,9,6,2
4,10,10,10,3,1
5,10,10,10,1,1
6,10,7,6,2,1
