cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.947140,1.009795,454407.885135,3029385.900900
II,0.922866,0.983916,442762.010280,2951746.735200
III,0.417125,0.444719,200123.335575,1334155.570500
IV,0.153346,0.163490,73570.536720,490470.244800
