proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8083,7626,3036,2136
2,10000,8140,7716,3095,2178
3,10000,8610,8221,2861,1662
4,10000,8586,8223,2887,1631
5,10000,8915,8617,2728,2140
6,10000,8970,8697,2763,2149
