cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.850683,0.000295,132.531545,883.543631
II,0.808310,0.000280,125.930107,839.534048
III,0.290989,0.000101,45.334504,302.230025
IV,0.158436,0.000055,24.683382,164.555880
