cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.853746,0.000790,355.588899,2370.592660
II,0.813017,0.000753,338.625169,2257.501124
III,0.293070,0.000271,122.064961,813.766409
IV,0.155784,0.000144,64.884692,432.564613
