cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.828392,3.051611,1373224.729853,9154831.532352
II,0.781736,2.879739,1295882.394721,8639215.964808
III,0.293704,1.081940,486873.129189,3245820.861258
IV,0.162668,0.599231,269653.907790,1797692.718600
