proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,7998,7516,2968,1909
2,10000,8137,7614,3051,1889
3,10000,8472,8029,2825,1331
4,10000,8498,8074,2925,1393
5,10000,8700,8272,2761,1875
6,10000,8754,8329,2845,1960
