cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.824104,1.177044,529669.766426,3531131.776172
II,0.779977,1.114018,501307.976041,3342053.173605
III,0.300958,0.429850,193432.470885,1289549.805901
IV,0.193205,0.275949,124176.946647,827846.310981
